,age,ed,employ,address,income,debtinc,creddebt,othdebt,Predictions
700,36,1,16,13,32,10.9,0.544128,2.943872,0
701,50,1,6,27,21,12.9,1.316574,1.392426,0
702,40,1,9,9,33,17,4.8807,0.7293,0
703,31,1,5,7,23,2,0.046,0.414,0
704,29,1,4,0,24,7.8,0.866736,1.005264,0
705,25,2,1,3,14,9.9,0.232848,1.153152,0
706,34,1,4,3,28,9.4,1.058064,1.573936,0
707,50,1,30,8,150,32.5,13.5525,35.1975,1
708,27,1,5,5,26,1.2,0.130416,0.181584,0
709,31,4,7,12,97,6,1.82748,3.99252,0
710,45,1,8,25,27,2.6,0.415584,0.286416,0
711,35,1,10,8,28,1.3,0.109928,0.254072,0
712,47,2,27,7,107,6.1,1.638277,4.888723,0
713,50,3,25,7,94,5.3,1.733736,3.248264,0
714,37,2,15,11,108,11.8,5.250528,7.493472,0
715,46,1,7,6,41,23.4,0.585234,9.008766,0
716,26,4,1,5,92,13,6.50624,5.45376,1
717,33,1,16,12,46,8.1,2.399544,1.326456,0
718,43,1,8,0,32,19,1.23424,4.84576,0
719,49,2,14,26,63,15.8,0.935676,9.018324,0
720,44,1,2,15,22,9.6,1.091904,1.020096,0
721,32,1,12,10,33,11.2,0.79464,2.90136,0
722,38,1,5,4,20,1.5,0.0915,0.2085,0
723,52,1,33,23,139,5.6,2.288496,5.495504,0
724,35,1,10,3,24,21.3,1.083744,4.028256,0
725,33,4,4,12,22,5.5,0.56628,0.64372,0
726,35,1,11,12,77,4.7,1.100176,2.518824,0
727,34,2,9,3,40,1.6,0.37376,0.26624,0
728,39,1,19,16,53,3.7,0.190217,1.770783,0
729,31,1,8,4,27,5.4,0.673596,0.784404,0
730,37,1,5,11,27,9.4,0.41877,2.11923,0
731,44,1,19,9,40,10.9,0.34444,4.01556,0
732,30,1,1,1,27,12.3,1.275264,2.045736,1
733,37,1,18,9,58,10.3,2.86752,3.10648,0
734,35,1,11,9,40,2.9,0.57188,0.58812,0
735,43,1,4,11,26,7.1,0.751322,1.094678,0
736,26,1,0,5,17,5,0.14195,0.70805,0
737,35,1,13,4,42,17.6,0.768768,6.623232,0
738,24,1,4,0,19,11,1.18503,0.90497,1
739,24,1,4,1,23,4.9,0.242305,0.884695,0
740,26,3,3,1,40,10.8,1.89648,2.42352,1
741,34,1,10,12,48,5.1,0.264384,2.183616,0
742,44,4,18,23,78,1,0.56472,0.21528,0
743,46,1,9,6,72,5,0.828,2.772,0
744,40,1,17,5,55,11.4,2.12553,4.14447,0
745,37,4,2,1,29,15.4,2.782318,1.683682,1
746,35,3,5,13,30,10.6,1.5264,1.6536,0
747,46,2,18,18,55,4.4,0.41866,2.00134,0
748,40,3,5,18,28,10,1.2628,1.5372,0
749,48,2,21,14,86,1.2,0.145512,0.886488,0
750,53,1,33,25,324,7,7.05348,15.62652,0
751,45,3,9,0,84,13.1,1.276464,9.727536,0
752,32,3,6,12,22,6.7,0.384714,1.089286,0
753,43,1,15,21,62,9.4,0.693532,5.134468,0
754,29,2,3,9,32,9,1.07136,1.80864,0
755,47,2,7,24,49,0.9,0.253575,0.187425,0
756,21,2,1,0,17,10.5,0.555135,1.229865,0
757,30,1,0,2,20,5.4,0.62208,0.45792,0
758,25,3,3,2,54,7.4,1.162836,2.833164,0
759,27,1,6,2,52,13.8,1.90164,5.27436,0
760,36,1,4,17,25,4,0.144,0.856,0
761,35,1,12,3,30,15.4,1.89882,2.72118,0
762,33,1,11,6,35,15.9,0.506415,5.058585,0
763,21,3,0,1,41,19.5,2.36652,5.62848,1
764,44,1,18,0,61,10.8,2.806488,3.781512,0
765,37,1,19,7,38,13.5,2.59065,2.53935,0
766,27,1,5,7,26,6.8,0.54808,1.21992,0
767,37,2,11,11,47,9.6,1.597248,2.914752,0
768,48,2,9,22,44,5.9,2.133912,0.462088,0
769,30,1,4,2,21,3.5,0.228585,0.506415,0
770,22,4,0,1,25,12.2,1.49145,1.55855,1
771,39,2,18,18,47,7.6,1.564536,2.007464,0
772,26,1,5,6,18,15.5,0.57474,2.21526,0
773,29,2,9,8,30,21.7,3.6456,2.8644,0
774,47,1,29,20,169,2.2,0.349492,3.368508,0
775,33,2,5,2,37,8.4,1.028748,2.079252,0
776,23,2,2,2,48,7.5,0.5112,3.0888,0
777,25,2,5,5,35,16.5,1.969275,3.805725,1
778,34,1,4,6,23,5.6,0.616952,0.671048,0
779,56,1,19,26,66,3.3,0.847242,1.330758,0
780,32,1,7,10,23,9.8,0.861028,1.392972,0
781,27,3,0,4,50,14.7,1.0437,6.3063,0
782,41,2,6,7,36,13.9,1.486188,3.517812,0
783,30,1,8,11,27,20.3,3.743523,1.737477,0
784,38,4,13,2,126,13.7,7.612542,9.649458,1
785,31,1,6,1,45,7.3,0.58473,2.70027,0
786,37,3,16,8,75,0.1,0.02205,0.05295,0
